Employee,Type,Days,Status
Phainon Khaslana,Vacation,5,Approved
Phainon Khaslana,Vacation,5,Pending
Unknown Employee,Leave,04/03,Approved
Phainon Khaslana,Vacation,5,Pending
Christopher Kiel San Miguel,Leave,05/24,Approved
Phainon Khaslana,Vacation,5,Pending
Leila Mirano,Overtime,01/01,Approved
Phainon Khaslana,Vacation,5,Pending
trial,Leave,05/26,Approved
Phainon Khaslana,Vacation,5,Pending
leave,Leave,05/29,Approved
Phainon Khaslana,Vacation,5,Pending
leave,Overtime,05/28,Approved
Phainon Khaslana,Vacation,5,Pending
Leila Mirano,Leave,05/19,Pending
Leila Mirano,Overtime,05/22,Pending
gigi,Leave,05/22,Approved
gigi,Overtime,05/21,Approved
gigi,Leave,05/25,Declined
Phainon Khaslana,Vacation,5,Pending
